138 phage	468	350	V. cholerae El Tor	CP-T1	463	345	V. cholerae El Tor	83	83	alignments/350-345.xfma.png
SPI4 (cGI2)	439	323	styphium	SPI4 (cGI1)	429	313	styphi	100	100	alignments/323-313.xfma.png
SPI5 (cGI1)	430	314	styphi	SPI-4 (cGI1)	172	161	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	78	78	alignments/314-161.xfma.png
SPI2 (cGI1)	427	311	styphi	SPI-2 (cGI2)	167	156	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	99	99	alignments/311-156.xfma.png
SPI2 (cGI1)	427	311	styphi	SPI-2 (cGI3)	168	157	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	99	99	alignments/311-157.xfma.png
SPI2 (cGI1)	427	311	styphi	SPI-2 (cGI1)	166	155	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	85	85	alignments/311-155.xfma.png
SPI6 (cGI1)	431	315	styphi	SPI-6/SPI-CI (cGI1)	178	167	Salmonella enterica subsp. enterica serovar Typhimurium strain SL1344 chromosome	66	65	alignments/315-167.xfma.png
SPI3 (cGI1)	428	312	styphi	SPI-3 (cGI2)	170	159	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	88	88	alignments/312-159.xfma.png
SPI3 (cGI1)	428	312	styphi	SPI-3 (cGI3)	171	160	Salmonella enterica subsp. enterica serovar Typhimurium strain ST1120 chromosome	88	88	alignments/312-160.xfma.png
SPI4 (cGI1)	429	313	styphi	SPI-4 (cGI2)	173	162	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	96	96	alignments/313-162.xfma.png
370.3-like	395	279	spyoMGAS	315.3	422	306	streppyo315	79	79	alignments/279-306.xfma.png
sda	391	275	spyoMGAS	315.4	423	307	streppyo315	67	67	alignments/275-307.xfma.png
T12	392	276	spyoMGAS	315.1	420	304	streppyo315	89	89	alignments/276-304.xfma.png
speC	393	277	spyoMGAS	315.2	421	305	streppyo315	58	58	alignments/277-305.xfma.png
HPI	448	332	yerpk	PAI-CFT073-asnT (HPI) (cGI2)	279	201	Escherichia coli NMEC O18	30	30	alignments/332-201.xfma.png
HPI	448	332	yerpk	PAI-CFT073-asnT (HPI) (cGI1)	278	200	Escherichia coli IHE3034/ExPEC	30	30	alignments/332-200.xfma.png
HPI	448	332	yerpk	PAI-CFT073-asnT (HPI) (cGI3)	280	202	Escherichia coli UPEC 26-1	30	30	alignments/332-202.xfma.png
PSA	124	116	L. monocytogenes WSLC1042	B025	123	115	L. ivanovii WSLC3009	30	30	alignments/116-115.xfma.png
SSP002	470	352	V. vulnificus	vB_VpaS_MAR10	469	351	V. parahaemolyticus	69	69	alignments/352-351.xfma.png
TLC phage	457	339	V. cholerae AL 33457	RTX	447	331	vcho1	71	71	alignments/339-331.xfma.png
VEJ phage	456	338	V. cholerae MO45	VGJ phage	455	337	V. cholerae SG25-1	99	99	alignments/338-337.xfma.png
VEJ phage	456	338	V. cholerae MO45	fs1	471	353	V. cholerae AL-4450	91	91	alignments/338-353.xfma.png
VGJ phage	455	337	V. cholerae SG25-1	fs1	471	353	V. cholerae AL-4450	82	82	alignments/337-353.xfma.png
VH7D	475	357	Vibrio strain 7D	ValKK3	474	356	V. alginolyticus 17749	97	97	alignments/357-356.xfma.png
VH7D	475	357	Vibrio strain 7D	phi Va3	480	362	V. alginolyticus	97	97	alignments/357-362.xfma.png
VH7D	475	357	Vibrio strain 7D	phi pp2	479	361	V. parahaemolyticus 17802	84	84	alignments/357-361.xfma.png
VH7D	475	357	Vibrio strain 7D	nt-1	478	360	V. natriegens HER1138	66	66	alignments/357-360.xfma.png
VVGI-2	108	104	V. vulnificus CMCP6, chr1	VVI-1	85	87	V. vulnificus CMCP6, chr1	90	90	alignments/104-87.xfma.png
VVGI-3	109	105	V. vulnificus CMCP6, chr1	VVI-4	88	90	V. vulnificus CMCP6, chr1	96	96	alignments/105-90.xfma.png
VVI-3	87	89	V. vulnificus CMCP6, chr1	VVI-VII	82	84	V. vulnificus YJ016, chr1	59	59	alignments/89-84.xfma.png
ValKK3	474	356	V. alginolyticus 17749	phi Va3	480	362	V. alginolyticus	95	95	alignments/356-362.xfma.png
ValKK3	474	356	V. alginolyticus 17749	phi pp2	479	361	V. parahaemolyticus 17802	82	82	alignments/356-361.xfma.png
ValKK3	474	356	V. alginolyticus 17749	nt-1	478	360	V. natriegens HER1138	65	65	alignments/356-360.xfma.png
fs1	471	353	V. cholerae AL-4450	KSF-1 phage	462	344	V. cholerae 55V71	32	32	alignments/353-344.xfma.png
nt-1	478	360	V. natriegens HER1138	phi pp2	479	361	V. parahaemolyticus 17802	68	67	alignments/360-361.xfma.png
nt-1	478	360	V. natriegens HER1138	phi Va3	480	362	V. alginolyticus	66	66	alignments/360-362.xfma.png
phi Va3	480	362	V. alginolyticus	phi pp2	479	361	V. parahaemolyticus 17802	85	84	alignments/362-361.xfma.png
Shigella pathogenicity island 2 (SHI-2) (cGI1)	299	215	Shigella flexneri 2a strain 301	Shigella pathogenicity island 3 (SHI-3) (cGI3)	304	220	Shigella flexneri strain 74-1170	54	52	alignments/215-220.xfma.png
Shigella pathogenicity island 2 (SHI-2) (cGI1)	299	215	Shigella flexneri 2a strain 301	Shigella pathogenicity island 3 (SHI-3) (cGI2)	303	219	Shigella flexneri 4c strain 1205	54	52	alignments/215-219.xfma.png
Shigella pathogenicity island 2 (SHI-2) (cGI1)	299	215	Shigella flexneri 2a strain 301	Shigella pathogenicity island 3 (SHI-3) (cGI1)	302	218	Shigella flexneri strain NCTC 9728	96	89	alignments/215-218.xfma.png
Shigella pathogenicity island 2 (SHI-2) (cGI1)	299	215	Shigella flexneri 2a strain 301	Shigella pathogenicity island 2 (SHI-2) (cGI2)	300	216	Shigella boydii strain NCTC 9733	40	40	alignments/215-216.xfma.png
Shigella pathogenicity island 2 (SHI-2) (cGI1)	299	215	Shigella flexneri 2a strain 301	Shigella pathogenicity island 2 (SHI-2) (cGI3)	301	217	Shigella boydii strain ATCC 35964	40	40	alignments/215-217.xfma.png
SGI-1 (cGI3)	195	172	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	99	99	alignments/172-170.xfma.png
PAGI-1	1	39	P. aeruginosa X24509	GI 13	55	58	P. aeruginosa KRP1	77	77	alignments/39-58.xfma.png
PAGI-2	2	34	Pseudomonas aeruginosa Strain C	LESGI-3	27	29	P. aeruginosa LESB58	43	43	alignments/34-29.xfma.png
PAGI-2	2	34	Pseudomonas aeruginosa Strain C	GI 11a (PI/SI/RI 11a)	53	56	P. aeruginosa KRP1	34	34	alignments/34-56.xfma.png
PAGI-2	2	34	Pseudomonas aeruginosa Strain C	PAGI-13	65	68	Pseudomonas aeruginosa clone ST277, strain CCBH4851	32	32	alignments/34-68.xfma.png
pKLC102	38	41	P. aeruginosa clone C	PAGI-5	4	8	P. aeruginosa PSE9	69	69	alignments/41-8.xfma.png
pKLC102	38	41	P. aeruginosa clone C	ExoU-A	35	36	P. aeruginosa 6077	31	31	alignments/41-36.xfma.png
pKLC102	38	41	P. aeruginosa clone C	PAGI-4	3	3	Pseudomonas aeruginosa 24Pae112	31	31	alignments/41-3.xfma.png
pKLC102	38	41	P. aeruginosa clone C	PAPI-1	31	32	P. aeruginosa PA14	68	68	alignments/41-32.xfma.png
pKLC102	38	41	P. aeruginosa clone C	GI 20	45	48	P. aeruginosa KRP1	42	42	alignments/41-48.xfma.png
pKLC102	38	41	P. aeruginosa clone C	PAGI-5	4	4	Pseudomonas aeruginosa 24Pae112	69	69	alignments/41-4.xfma.png
PAGI-4	3	40	P. aeruginosa clone C	ExoU-A	35	36	P. aeruginosa 6077	30	30	alignments/40-36.xfma.png
PAPI-1	31	32	P. aeruginosa PA14	PAGI-4	3	3	Pseudomonas aeruginosa 24Pae112	32	32	alignments/32-3.xfma.png
PAPI-1	31	32	P. aeruginosa PA14	ExoU-A	35	36	P. aeruginosa 6077	32	32	alignments/32-36.xfma.png
PAPI-1	31	32	P. aeruginosa PA14	PAGI-5	4	8	P. aeruginosa PSE9	63	62	alignments/32-8.xfma.png
PAPI-1	31	32	P. aeruginosa PA14	GI 20	45	48	P. aeruginosa KRP1	38	37	alignments/32-48.xfma.png
PAPI-1	31	32	P. aeruginosa PA14	PAGI-5	4	4	Pseudomonas aeruginosa 24Pae112	62	61	alignments/32-4.xfma.png
PAPI-2	32	33	P. aeruginosa PA14	PAGI-4	3	3	Pseudomonas aeruginosa 24Pae112	75	75	alignments/33-3.xfma.png
PAPI-2	32	33	P. aeruginosa PA14	ExoU-A	35	36	P. aeruginosa 6077	62	62	alignments/33-36.xfma.png
PAPI-2	32	33	P. aeruginosa PA14	ExoU-C (islet)	37	38	P. aeruginosa 6077	31	31	alignments/33-38.xfma.png
PAPI-2	32	33	P. aeruginosa PA14	ExoU-B	36	37	P. aeruginosa 6077	64	64	alignments/33-37.xfma.png
PAPI-2	32	33	P. aeruginosa PA14	PAGI-5	4	8	P. aeruginosa PSE9	38	38	alignments/33-8.xfma.png
esp PAI (cGI1)	69	74	Enterococcus faecium E300	esp PAI (cGI4)	74	76	E. faecium Aus0004	99	93	alignments/74-76.xfma.png
PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI3)	274	196	Escherichia coli UTI89	PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI2)	273	195	Escherichia coli NU14	100	100	alignments/196-195.xfma.png
PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI3)	274	196	Escherichia coli UTI89	PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI1)	272	194	Escherichia coli IHE3034/ExPEC	99	99	alignments/196-194.xfma.png
PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI3)	274	196	Escherichia coli UTI89	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI3)	284	205	Escherichia coli NMEC O18	36	36	alignments/196-205.xfma.png
PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI3)	274	196	Escherichia coli UTI89	SpLE1	363	247	ecoli_O157n	30	30	alignments/196-247.xfma.png
PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI2)	283	204	Escherichia coli UTI89	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI1)	282	203	Escherichia coli IHE3034/ExPEC	100	100	alignments/204-203.xfma.png
PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI2)	283	204	Escherichia coli UTI89	φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	40	40	alignments/204-210.xfma.png
PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI2)	283	204	Escherichia coli UTI89	φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	40	40	alignments/204-209.xfma.png
PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI2)	283	204	Escherichia coli UTI89	φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	40	40	alignments/204-211.xfma.png
PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI2)	283	204	Escherichia coli UTI89	CP-933O	359	243	ecoli_O157	34	34	alignments/204-243.xfma.png
PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI2)	283	204	Escherichia coli UTI89	φ-CFT073-smpB (cGI1)	295	212	Escherichia coli IHE3034/ExPEC	31	31	alignments/204-212.xfma.png
φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	100	100	alignments/210-209.xfma.png
φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	100	100	alignments/210-211.xfma.png
φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI1)	282	203	Escherichia coli IHE3034/ExPEC	41	41	alignments/210-203.xfma.png
φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	Sp9	377	261	ecoli_O157n	35	35	alignments/210-261.xfma.png
φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	φ-CFT073-smpB (cGI1)	295	212	Escherichia coli IHE3034/ExPEC	32	32	alignments/210-212.xfma.png
φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	PAI-CFT073-asnT (HPI) (cGI1)	278	200	Escherichia coli IHE3034/ExPEC	35	35	alignments/210-200.xfma.png
φ-CFT073-potB (cGI2)	293	210	Escherichia coli UTI89	PAI-CFT073-asnT (HPI) (cGI2)	279	201	Escherichia coli NMEC O18	35	35	alignments/210-201.xfma.png
PAI II (APECO1) (cGI2)	270	192	Escherichia coli UTI89	PAI II (APECO1) (cGI1)	269	191	Escherichia coli NU14	100	100	alignments/192-191.xfma.png
PAI II (APECO1) (cGI2)	270	192	Escherichia coli UTI89	PAI II (APECO1) (cGI3)	271	193	Escherichia coli IHE3034/ExPEC	100	100	alignments/192-193.xfma.png
PAI V(536)/PAI I(APECO1) (cGI2)	276	198	Escherichia coli UTI89	PAI V(536)/PAI I(APECO1) (cGI1)	275	197	Escherichia coli IHE3034/ExPEC	100	100	alignments/198-197.xfma.png
PAI V(536)/PAI I(APECO1) (cGI2)	276	198	Escherichia coli UTI89	PAI V(536)/PAI I(APECO1) (cGI3)	277	199	Escherichia coli APEC O1	100	100	alignments/198-199.xfma.png
GimA (cGI2)	266	189	Escherichia coli UTI89	GimA (cGI1)	265	188	Escherichia coli APEC O1	100	100	alignments/189-188.xfma.png
GimA (cGI2)	266	189	Escherichia coli UTI89	GimA (cGI3)	267	190	Escherichia coli IHE3034/ExPEC	100	100	alignments/189-190.xfma.png
PAI V(536)/PAI I(APECO1) (cGI3)	277	199	Escherichia coli APEC O1	PAI V(536)/PAI I(APECO1) (cGI1)	275	197	Escherichia coli IHE3034/ExPEC	100	100	alignments/199-197.xfma.png
GimA (cGI1)	265	188	Escherichia coli APEC O1	GimA (cGI3)	267	190	Escherichia coli IHE3034/ExPEC	100	100	alignments/188-190.xfma.png
PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI1)	272	194	Escherichia coli IHE3034/ExPEC	PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI2)	273	195	Escherichia coli NU14	99	99	alignments/194-195.xfma.png
PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI1)	272	194	Escherichia coli IHE3034/ExPEC	PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI3)	284	205	Escherichia coli NMEC O18	36	36	alignments/194-205.xfma.png
PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI1)	272	194	Escherichia coli IHE3034/ExPEC	SpLE1	363	247	ecoli_O157n	30	30	alignments/194-247.xfma.png
PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI1)	282	203	Escherichia coli IHE3034/ExPEC	CP-933O	359	243	ecoli_O157	34	34	alignments/203-243.xfma.png
PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI1)	282	203	Escherichia coli IHE3034/ExPEC	φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	40	40	alignments/203-209.xfma.png
PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI1)	282	203	Escherichia coli IHE3034/ExPEC	φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	40	40	alignments/203-211.xfma.png
PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI1)	282	203	Escherichia coli IHE3034/ExPEC	φ-CFT073-smpB (cGI1)	295	212	Escherichia coli IHE3034/ExPEC	31	31	alignments/203-212.xfma.png
φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	99	99	alignments/209-211.xfma.png
φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	Sp9	377	261	ecoli_O157n	35	35	alignments/209-261.xfma.png
φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	φ-CFT073-smpB (cGI1)	295	212	Escherichia coli IHE3034/ExPEC	32	32	alignments/209-212.xfma.png
φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	PAI-CFT073-asnT (HPI) (cGI1)	278	200	Escherichia coli IHE3034/ExPEC	35	35	alignments/209-200.xfma.png
φ-CFT073-potB (cGI1)	292	209	Escherichia coli IHE3034/ExPEC	PAI-CFT073-asnT (HPI) (cGI2)	279	201	Escherichia coli NMEC O18	35	35	alignments/209-201.xfma.png
PAI-CFT073-asnT (HPI) (cGI1)	278	200	Escherichia coli IHE3034/ExPEC	PAI-CFT073-asnT (HPI) (cGI2)	279	201	Escherichia coli NMEC O18	99	99	alignments/200-201.xfma.png
PAI-CFT073-asnT (HPI) (cGI1)	278	200	Escherichia coli IHE3034/ExPEC	PAI-CFT073-asnT (HPI) (cGI3)	280	202	Escherichia coli UPEC 26-1	87	87	alignments/200-202.xfma.png
PAI II (APECO1) (cGI3)	271	193	Escherichia coli IHE3034/ExPEC	PAI II (APECO1) (cGI1)	269	191	Escherichia coli NU14	99	99	alignments/193-191.xfma.png
PAI-CFT073-metV/ PAI-536-metV (cGI1)	285	206	Escherichia coli IHE3034/ExPEC	PAI-CFT073-metV/ PAI-536-metV (cGI2)	286	207	Escherichia coli NMEC O18	99	99	alignments/206-207.xfma.png
PAI-CFT073-metV/ PAI-536-metV (cGI1)	285	206	Escherichia coli IHE3034/ExPEC	PAI-CFT073-metV/ PAI-536-metV (cGI3)	287	208	Escherichia coli APEC O18	99	99	alignments/206-208.xfma.png
SaPI1 (S. aureus pathogenicity island 1) (cGI3)	308	223	Staphylococcus aureus subspecies aureus strain JKD6008	SaPI1 (S. aureus pathogenicity island 1) (cGI1)	306	221	Staphylococcus aureus subspecies aureus strain TW20	100	100	alignments/223-221.xfma.png
SaPI1 (S. aureus pathogenicity island 1) (cGI3)	308	223	Staphylococcus aureus subspecies aureus strain JKD6008	SaPI1 (S. aureus pathogenicity island 1) (cGI2)	307	222	Staphylococcus aureus subspecies aureus strain V521	100	100	alignments/223-222.xfma.png
SaPI1 (S. aureus pathogenicity island 1) (cGI3)	308	223	Staphylococcus aureus subspecies aureus strain JKD6008	SaPIn1 (cGI1)	399	283	staaur_mu50	34	34	alignments/223-283.xfma.png
SaPI1 (S. aureus pathogenicity island 1) (cGI3)	308	223	Staphylococcus aureus subspecies aureus strain JKD6008	SaPI2 (S. aureus pathogenicity island 2) (cGI3)	327	226	Staphylococcus aureus subspecies aureus strain NRS143	34	34	alignments/223-226.xfma.png
SaPI1 (S. aureus pathogenicity island 1) (cGI3)	308	223	Staphylococcus aureus subspecies aureus strain JKD6008	SaPI2 (S. aureus pathogenicity island 2) (cGI1)	310	224	Staphylococcus aureus subspecies aureus strain IT4-R	34	34	alignments/223-224.xfma.png
SaPI1 (S. aureus pathogenicity island 1) (cGI3)	308	223	Staphylococcus aureus subspecies aureus strain JKD6008	SaPI2 (S. aureus pathogenicity island 2) (cGI2)	326	225	Staphylococcus aureus subspecies aureus strain IT1-S	34	34	alignments/223-225.xfma.png
esp PAI (cGI4)	74	76	E. faecium Aus0004	esp PAI (cGI1)	69	73	Enterococcus faecalis MMH594	35	33	alignments/76-73.xfma.png
PAI-CFT073-metV/ PAI-536-metV (cGI3)	287	208	Escherichia coli APEC O18	PAI-CFT073-metV/ PAI-536-metV (cGI2)	286	207	Escherichia coli NMEC O18	100	100	alignments/208-207.xfma.png
C. fetus subsp. venerealis strain ATCC 19438 Genomic Island (cGI2)	253	186	Campylobacter fetus subsp. venerealis strain cfvi03/293	C. fetus subsp. venerealis strain ATCC 19438 Genomic Island (cGI3)	254	187	Campylobacter fetus subsp. venerealis strain 97/608	100	100	alignments/186-187.xfma.png
C. fetus subsp. venerealis strain ATCC 19438 Genomic Island (cGI2)	253	186	Campylobacter fetus subsp. venerealis strain cfvi03/293	C. fetus subsp. venerealis strain ATCC 19438 Genomic Island (cGI1)	252	185	C. fetus subsp. venerealis strain 84-112	100	100	alignments/186-185.xfma.png
PAI-CFT073-asnT (HPI) (cGI2)	279	201	Escherichia coli NMEC O18	PAI-CFT073-asnT (HPI) (cGI3)	280	202	Escherichia coli UPEC 26-1	87	87	alignments/201-202.xfma.png
PAI-CFT073-icdA((Pathogenicity Island CFT073-icdA) (cGI3)	284	205	Escherichia coli NMEC O18	PAI III(536)/PAI-CFT073-serX/PAI I(Nissle1917) (cGI2)	273	195	Escherichia coli NU14	47	47	alignments/205-195.xfma.png
φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	Sp9	377	261	ecoli_O157n	35	35	alignments/211-261.xfma.png
φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	φ-CFT073-smpB (cGI1)	295	212	Escherichia coli IHE3034/ExPEC	32	32	alignments/211-212.xfma.png
φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	PAI-CFT073-asnT (HPI) (cGI1)	278	200	Escherichia coli IHE3034/ExPEC	35	35	alignments/211-200.xfma.png
φ-CFT073-potB (cGI3)	294	211	Escherichia coli NMEC O18	PAI-CFT073-asnT (HPI) (cGI2)	279	201	Escherichia coli NMEC O18	35	35	alignments/211-201.xfma.png
C. fetus subsp. venerealis strain ATCC 19438 Genomic Island (cGI3)	254	187	Campylobacter fetus subsp. venerealis strain 97/608	C. fetus subsp. venerealis strain ATCC 19438 Genomic Island (cGI1)	252	185	C. fetus subsp. venerealis strain 84-112	100	100	alignments/187-185.xfma.png
Shigella pathogenicity island 3 (SHI-3) (cGI2)	303	219	Shigella flexneri 4c strain 1205	Shigella pathogenicity island 3 (SHI-3) (cGI3)	304	220	Shigella flexneri strain 74-1170	100	100	alignments/219-220.xfma.png
Shigella pathogenicity island 3 (SHI-3) (cGI2)	303	219	Shigella flexneri 4c strain 1205	Shigella pathogenicity island 3 (SHI-3) (cGI1)	302	218	Shigella flexneri strain NCTC 9728	99	99	alignments/219-218.xfma.png
Shigella pathogenicity island 3 (SHI-3) (cGI2)	303	219	Shigella flexneri 4c strain 1205	Shigella pathogenicity island 2 (SHI-2) (cGI2)	300	216	Shigella boydii strain NCTC 9733	77	77	alignments/219-216.xfma.png
Shigella pathogenicity island 3 (SHI-3) (cGI2)	303	219	Shigella flexneri 4c strain 1205	Shigella pathogenicity island 2 (SHI-2) (cGI3)	301	217	Shigella boydii strain ATCC 35964	77	77	alignments/219-217.xfma.png
SaPI1 (S. aureus pathogenicity island 1) (cGI2)	307	222	Staphylococcus aureus subspecies aureus strain V521	SaPI1 (S. aureus pathogenicity island 1) (cGI1)	306	221	Staphylococcus aureus subspecies aureus strain TW20	100	100	alignments/222-221.xfma.png
SaPI1 (S. aureus pathogenicity island 1) (cGI2)	307	222	Staphylococcus aureus subspecies aureus strain V521	SaPIn1 (cGI1)	399	283	staaur_mu50	34	34	alignments/222-283.xfma.png
SaPI1 (S. aureus pathogenicity island 1) (cGI2)	307	222	Staphylococcus aureus subspecies aureus strain V521	SaPI2 (S. aureus pathogenicity island 2) (cGI3)	327	226	Staphylococcus aureus subspecies aureus strain NRS143	34	34	alignments/222-226.xfma.png
SaPI1 (S. aureus pathogenicity island 1) (cGI2)	307	222	Staphylococcus aureus subspecies aureus strain V521	SaPI2 (S. aureus pathogenicity island 2) (cGI1)	310	224	Staphylococcus aureus subspecies aureus strain IT4-R	34	34	alignments/222-224.xfma.png
SaPI1 (S. aureus pathogenicity island 1) (cGI2)	307	222	Staphylococcus aureus subspecies aureus strain V521	SaPI2 (S. aureus pathogenicity island 2) (cGI2)	326	225	Staphylococcus aureus subspecies aureus strain IT1-S	34	34	alignments/222-225.xfma.png
SPI-5 (cGI1)	175	164	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	SPI-5 (cGI2)	176	165	Salmonella enterica subsp. enterica serovar Typhimurium strain ST1120 chromosome	99	99	alignments/164-165.xfma.png
SPI-5 (cGI1)	175	164	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	SPI-5 (cGI3)	177	166	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	99	99	alignments/164-166.xfma.png
SPI-5 (cGI1)	175	164	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	SPI-4 (cGI2)	173	162	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	69	69	alignments/164-162.xfma.png
SPI-5 (cGI1)	175	164	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	SPI4 (cGI2)	439	323	styphium	46	46	alignments/164-323.xfma.png
SPI-5 (cGI1)	175	164	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	SPI4 (cGI1)	429	313	styphi	46	46	alignments/164-313.xfma.png
SPI-1 (cGI1)	163	152	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	SPI-1 (cGI2)	164	153	Salmonella enterica subsp. enterica serovar Typhimurium strain ST1120 chromosome	99	99	alignments/152-153.xfma.png
SPI-1 (cGI1)	163	152	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	SPI-1 (cGI3)	165	154	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	99	99	alignments/152-154.xfma.png
SPI-2 (cGI2)	167	156	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	SPI-2 (cGI3)	168	157	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	100	100	alignments/156-157.xfma.png
SPI-2 (cGI2)	167	156	Salmonella enterica subsp. enterica serovar Typhimurium strain LT2 chromosome	SPI-2 (cGI1)	166	155	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	80	80	alignments/156-155.xfma.png
SGI1-K (cGI3)	208	175	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC 2009K-1640	SGI-1 (cGI2)	194	171	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	100	100	alignments/175-171.xfma.png
SGI1-K (cGI3)	208	175	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC 2009K-1640	SGI-1 (cGI1)	193	170	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	100	100	alignments/175-170.xfma.png
SGI1-K (cGI3)	208	175	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC 2009K-1640	SGI1-K (cGI1)	206	173	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	99	99	alignments/175-173.xfma.png
SGI1-K (cGI3)	208	175	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC 2009K-1640	SGI1-Pm2CHAMA (cGI1)	224	176	Salmonella enterica subsp. enterica serovar Typhimurium strain FDAARGOS_321 chromosome	99	99	alignments/175-176.xfma.png
SGI1-K (cGI3)	208	175	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC 2009K-1640	Salmonella Genomic Island 1-Pm2CHAMA (SGI1-Pm2CHAMA)	250	184	Salmonella enterica subsp. enterica serovar Enteritidis strain 92-0392 chromosome	99	99	alignments/175-184.xfma.png
SGI1-K (cGI3)	208	175	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC 2009K-1640	SGI1-Pm2CHAMA (cGI2)	225	177	Salmonella enterica subsp. enterica serovar Typhimurium strain CDC_H2662 chromosome	99	99	alignments/175-177.xfma.png
